file name,page number,page section,content,tokens
/Users/kaiser/code/chemnlp/v1/INPUT/test2.pdf,1,1,"Research Article Synthesis of Porous Octahedral ZnO/CuO Composites from Zn/Cu-Based MOF-199 and Their Applications in Visible-Light-Driven Photocatalytic Degradation of Dyes Tran Thanh Minh,1 Nguyen Thi Thanh Tu,2 Tran Thi Van Thi,1 Le Thi Hoa,1 Hoang Thai Long,1 Nguyen Hai Phong,1 Thong Le Minh Pham,3 and Dinh Quang Khieu 1 1University of Sciences, Hue University, 530000, Vietnam 2Institute for Environmental Science, Nguyen Tat Thanh University, 700000, Vietnam 3Institute of Research and Development, Duy Tan University, 550000, Vietnam Correspondence should be addressed to Dinh Quang Khieu; dqkhieu@hueuni.edu.vn Received 22 June 2019; Revised 4 September 2019; Accepted 16 September 2019; Published 14 October 2019 Academic Editor: Sesha Srinivasan Copyright © 2019 Tran Thanh Minh et al. This is an open access article distributed under the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited. In the present paper, a porous oct",269
/Users/kaiser/code/chemnlp/v1/INPUT/test2.pdf,1,2,"ahedral (ZnO/CuO) composite is synthesized from zinc/copper-based metal-organic framework-199, and its applications in visible-light-driven photocatalytic degradation of dyes are demonstrated. The precursors of Zn-BTC, Cu-BTC, and Zn/Cu-BTC (BTC: benzene-1,3,5-tricarboxylate) were synthesized using a microwave-assisted method. Benzene-1,3,5-tricarboxylate acts as a sacriﬁcial template and was removed from the precursors via thermal decomposition to form CuO, ZnO, and ZnO/CuO. ZnO/CuO with a large speciﬁc surface area of 32.5 m2·g–1 is composed of porous octahedral particles of 5–10 μm in diameter. Methylene blue (MB) was utilized as the dye model for photocatalytic degradation reactions. The porous octahedral ZnO/CuO exhibits superior visible-light-driven photocatalytic degradation of MB compared with single CuO or ZnO. The kinetic model of photocatalytic degradation was proposed as ð1/KLÞ × ln C + C = −krt + ð1/KLÞ × ln Ce + Ce, where KL is the Langmuir equilibrium constant and Ce is the MB concentration at equilibrium. The model ",297
/Users/kaiser/code/chemnlp/v1/INPUT/test2.pdf,1,3,"signiﬁcantly ﬁts the kinetic data. In addition, the acquired catalyst manifests excellent photocatalytic degradation for several other dyes including phenol red, methyl orange, and Congo red. 1. Introduction Metal oxide semiconductors are widely used for photocata- lytic degradation of organic pollutants due to their high photosensitivity, nontoxic nature, and low cost. It is well known that titanium oxide (TiO2) and zinc oxide (ZnO) can only be excited for photocatalysis. ZnO belongs to the n-type semiconductor and is considered one of the important semiconductor photocatalysts due to its high photosensitivity and stability [1, 2]. However, the constraint of ZnO among others is that it absorbs light only in the near UV region because of its large bandwidth of 3.2 eV. Unfortunately, sunlight constitutes only 4–5% of UV light [3, 4]. Therefore, the eﬀective use of solar energy still remains a challenge in photocatalytic application. The photoresponse of narrow- band-gap semiconductors shifts much more to the visible wavelength range",239
/Users/kaiser/code/chemnlp/v1/INPUT/test2.pdf,1,4,". However, these semiconductors are diﬃ- cult to maintain their photoactivity for a long time due to the recombination of the photo-induced electron-hole pairs. To improve the visible-light-driven photocatalytic eﬃciency of ZnO, some metals or oxides are often introduced to its sur- face. Au-loaded ZnO can signiﬁcantly enhance the activities of photogenerated electrons by suppressing the recombina- tion of charge carriers [5]. Unlike pure ZnO, mesoporous Fe2O3/ZnO core-shell composites manifest an excellent pho- tocatalytic degradation of Rhodamine B in both ultraviolet and visible light regions [6]. The nanostructure of cupric oxide (CuO) is the p-type semiconductor with a narrow band gap of 1.2–2.71 eV. Despite its high capacity of absorption in the visible light range, CuO is surprisingly not appealing in terms of catalytic behavior due to its fast recombination rate of the induced electron-hole pairs. Thus, in order to Hindawi Journal of Nanomaterials Volume 2019, Article ID 5198045, 16 pages https://doi.org/10.1155/2019/519804",264
/Users/kaiser/code/chemnlp/v1/INPUT/test2.pdf,2,1,"achieve a high catalytic activity, a synergistic system may be expected by connecting CuO with ZnO, in which CuO acts as a cocatalyst and thus expands the visible- light response. Moreover, the possible formation of favorable p-n junctions at the nanostructure interface restrains the photo-induced carrier recombination. Various approaches have been accomplished to synthesize ZnO/CuO composites for photocatalytic application such as sol-gel and coprecipita- tion [7–9]. However, to achieve a high degree of homoge- neous dispersion of each component still remains a major challenge with multimetal oxides. Metal-organic frameworks (MOFs) are a class of crys- talline materials that have coordination bonds between transition-metal cations and organic ligands. The metal- organic frameworks possess unique performance advantages, such as controllable pore size and pore surface, low density, and large surface area. These outstanding properties make MOFs widely used in many ﬁelds, for example, adsorption, photocatalysis, and biosensors [10–12]. HKUST-1 (Hong Kong University of Science and Technology) is one of the ﬁrst MOFs made up of copper nodes with benzene-1,3,5- tricarboxylic (BTC) acid struts between them [13]. HKUST- 1 (or MOF-199 or Cu-BTC) manifests remarkable potentials in photocatalysis [14, 15] and separation [16]. MOF-199 notably displays persistence in both water and air [13]. Zinc is a promising metal that constructs an isostructural analogue to Cu-BTC. Anbia et al. [17] reported the hydrothermal ",359
/Users/kaiser/code/chemnlp/v1/INPUT/test2.pdf,2,2,"syn- thesis of Zn-BTC that can be a good material for hydrogen storage at room temperature. Zn-BTC is also synthesized through direct precipitation in solution under ultrasonic con- dition [18]. Xu et al. [19] reported the ionothermal synthesis of Zn-BTC using 1-ethyl-3-methylimidazolium bromide ionic liquid as a solvent. The use of ionic liquid in the synthe- sis of Zn-BTC has shown a vast range of possibilities of controlling the structures and obtaining new materials by tuning the properties of the ionic liquid. Zn-BTC possesses lower-than-expected surface areas (a few meters to a few dozen meters), or it completely collapses upon the removal of guest molecules [20]. Generally, synthetic conditions (temperature, atmosphere, and posttreatment) are critical to the formation of MOF diﬀractions as well as their physico- chemical properties [17, 18, 21]. Multimetal component MOFs have widely been synthe- sized by simultaneously mixing several metal species with organic ligands [22, 23]. There exist several advantages of using multimetal-component MOFs as sacriﬁcial templates compared with other conventional templates [24]. They are as follows: (i) The metal species in MOFs are mixed at molecular levels (ii) Homogeneous morphologies of MOFs are critical regarding the preparation of anisotropic multimetal oxides that are diﬃcult to fabricate using classical methods (iii) Undesired aggregation or structural collapse of the framework during thermolysis can be minimized due to their structural strength Xu e",341
/Users/kaiser/code/chemnlp/v1/INPUT/test2.pdf,2,3,"t al. successfully synthesized hierarchical porous ZnO/ZnCo2O4 using one-step thermal calcining the as- prepared Zn-Co-MOF precursor [25]. Huang et al. reported hierarchical NiFe2O4/Fe2O3 nanotubes prepared from MOFs for superior lithium-ion batteries [26]. Wu et al. developed a facile method for the synthesis of a hybrid ZnxCo(3–x)O4 composite via the thermal oxidative decomposition of bime- tallic (Zn/Co) zeolitic imidazolate frameworks (ZIFs) [27]. Recently, Lei et al. demonstrated the hollow CuO/ZnO materials derived from zeolite imidazole framework-8. This material is a very promising photocatalyst for tetracycline degradation [28]. However, so far, little work has been carried out to prepare ZnO/CuO from MOFs. In the present paper, a porous octahedral (ZnO/CuO) composite is synthesized from zinc/copper-based metal- organic framework-199, and its applications in visible-light- driven photocatalytic degradation of dyes are demonstrated. The precursors of Zn-BTC, Cu-BTC, and Zn/Cu-BTC are synthesized with a microwave-assisted method. In addition, pure Zn-BTC and Cu-BTC are prepared for the sake of comparison. Benzene-1,3,5-tricarboxylic acts as a sacriﬁcial template and is removed by calcination. The kinetic model of photocatalytic degradation is proposed by combining the heterogeneous catalysis for unimolecular reactions with adsorption isotherms. 2. Experimental 2.1. Materials. Benzene-1,3,5-tricarboxylic acid (C6H3 (COOH)3, ≥95%) (denoted as BTC), copper nitrate trihy- drate (Cu(NO3)2·3H2O, 99.",419
/Users/kaiser/code/chemnlp/v1/INPUT/test2.pdf,2,4,"5%), zinc nitrate tetrahydrate (Zn(NO3)2·4H2O, 98.5%), methyl orange (C14H14N3NaO3S, 85%), phenol red (C19H14O5S, 90%), and Congo red (C32H22N6Na2O6S2, 85%), potassium iodide (KI, 99%), benzoquinone (C6H4O2, 98%), and isopropanol (C3H7OH) were purchased from Merck, Germany. Dimethylformamide ((CH3)2NCHO), ethanol (C2H5OH), methanol (CH3OH, 99% purity), and methylene blue (C16H18ClN3S, 82%—MB) were acquired from HiMedia, India. Methylene blue is used as the dye model. Potassium iodide and benzoquinone are used as scavengers in the current study. 2.2. Apparatus. Powder X-ray diﬀraction patterns (PXRD) were performed on a D8 Advance Bruker monochromator equipped with a Cu-Kα radiation source (λ = 1:5406 Å). The morphologies of the obtained samples were analyzed using a scanning electron microscope (SEM) (Hitachi S- 4800) and a high-resolution transmission electron micro- scope (HR-TEM) (JEM-2100). Thermo analysis (TG-DTA) was carried out using a TG-DTA instrument (DTG-60H Shimadzu) under atmospheric pressure at a heating rate of 10°C·min–1. Nitrogen adsorption/desorption isotherms were recorded on a Micromeritics ASAP 2020 instrument. The samples (200 mg) were degassed at 120°C for 24h before measurements. The speciﬁc surface area was determined via the Brunauer-Emmett-Teller (BET) model with a relative pressure of 0.01–0.25 using adsorption data. Pore size distri- bution calculation was accomplished with the BJH (Barrett, Joyner, and Halenda) model using the adsorption branch of 2 Journal of Nanomateri",482
/Users/kaiser/code/chemnlp/v1/INPUT/test2.pdf,3,1,"the isotherms. The data of ultraviolet-visible diﬀuse reﬂec- tance spectroscopy (UV-Vis-DRS) were recorded on a Cary 5000 UV-Vis spectrometer (using BaSO4 as the reference) at a collection speed of 600 nm·min−1. X-ray photoelectron spectroscopy (XPS) was recorded with a Kratos Analytical spectrometer. All binding energies were referenced to the contaminant C 1s peak (at 284.6 eV) of adventitious carbon. The elemental compositions of Zn and Cu were analyzed with atomic absorption spectroscopy (AAS) using ZEEnit 7000. The elemental analysis of C and H was performed using Elemental Analyzer EA3000. Photoluminescence spectra of the obtained materials were measured at room temperature with a photoluminescence spectrophotometer (Horiba FL3). The concentration of dyes was measured using a UV-Vis spectrophotometer (V-630 Jasco) at λmax 644 nm for methy- lene blue, 464 nm for methyl orange, 431 nm for phenol red, 500 nm for Congo red, and 270 nm for phenol. The degree of MB mineralization was calculated based on TOC (total organic carbon). The concentration of TOC was determined using a TOC analyzer (TOC-VCPH). 2.3. Preparation of Zn/Cu-BTC, Cu-BTC, Zn-BTC, ZnO/CuO, CuO, and ZnO. Benzene-1,3,5-tricarboxylic acid (0.4410 g, 0.0021 mol), Cu(NO3)2·3H2O (0.2289 g, 0.00095 mol), and Zn(N",390
/Users/kaiser/code/chemnlp/v1/INPUT/test2.pdf,3,2,"O3)2·4H2O (0.5757 g, 0.0022 mol) were ﬁrst dissolved in a mixture (21mL) of ethanol, distilled water, and dimethyl- formamide (1 : 1 : 1 in v/v) and stirred magnetically for 5 min. The resultant mixture was then loaded into a 250 mL Erlenmeyer ﬂask and placed in a hand-made micro- wave device (Sharp R-203VN-M with a power of 250 W) [29] and irradiated for 30 min. The solid was collected by centrifugation, washed with DMF three times, dried at 180°C for 8 h, and designated as Zn/Cu-BTC [29]. Zn-BTC and Cu-BTC were synthesized with the same procedure. Oxides (ZnO/CuO, ZnO, and CuO) were prepared by annealing Zn/Cu-BTC, Zn-BTC, and Cu-BTC at 500°C for 5 h at a heating rate of 5°C·min–1 under atmospheric pres- sure in an electric furnace (Vulcan 3-550 PD). The oxides were stored in a desiccator and used as a catalyst without any further treatment. 2.4. Photocatalytic Activity 2.4.1. Photocatalytic Performance. A beaker containing 500 mL of an aqueous suspension of MB (5–30 ppm) and 400 mg of catalyst was placed under a lamp bracket. The light source is a 160 W metal halide lamp (Philips) equipped with a wavelength cut-oﬀ ﬁlter (λ ≤ 420 nm) (or Philips, Actinic BL 18 W, λ = 365 nm). Prior to illumination, the suspension was stirred magnetically in the dark for 60–180 min to ensu",406
